title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
Terrace House: Tokyo 2019-2020		You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama		TV-MA	International TV Shows, Reality TV	Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them.	81077065	2019		1
Loo Loo Kids: Johny & Friends Musical Adventures				TV-Y	Kids' TV	Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series.	81073764	2016		1
Serial Killer with Piers Morgan		Piers Morgan	United Kingdom	TV-14	British TV Shows, Crime TV Shows, Docuseries	Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.	80241003	2018		1
Transformers Rescue Bots Academy		Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou	United States	TV-Y	Kids' TV	As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions.	81154900	2019		1
Transformers: Cyberverse		Sophia Isabella, Jeremy Levy, Jacob Tillman, Ryan Andes, Deanna McGovern, Dick Terhune		TV-Y7	Kids' TV	Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.	81154956	2018		1
Age of Rebellion	Peter Ho	Peter Ho, Jeanine Yang, Tammy Chen, Jason Tsou, Chang Ting-hu, Nana Lee, Nien Hsuan Wu	Taiwan	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.	81004113	2018		1
Sisters		Lucy Durack, Antonia Prebble, Maria Angelico, Dan Spielman, Charlie Garber, Lindsay Farris, Zindzi Okenyo, Catherine McClements, Roy Billing, Magda Szubanski	Australia	TV-MA	International TV Shows, TV Comedies, TV Dramas	Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.	80994108	2018		1
The Road to Calvary		Anna Chipovskaya, Yulia Snigir, Leonid Bichevin, Pavel Trubiner	Russia	TV-14	International TV Shows, TV Dramas	Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.	81004162	2017		1
A Boy Name Flora A		Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang	Taiwan	TV-MA	International TV Shows, TV Comedies, TV Dramas	A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.	80188969	2017		1
A House of Blocks		Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting		TV-MA	International TV Shows, TV Dramas, TV Horror	Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.	80189155	2017		1
All About Love		Christina Mok, River Huang, Stone Yang, April Liu, Andy Wu, Jake Hsu	Taiwan	TV-14	International TV Shows, TV Dramas, TV Horror	Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind.	80189208	2017		1
FINAL FANTASY XIV Dad of Light		Yudai Chiba, Ren Osugi, Fumika Baba, Yoshihiko Hakamada, Hatsunori Hasegawa, Mako Ishino	Japan	TV-PG	International TV Shows, TV Dramas	A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.	80178543	2017		1
Gurren Lagann		Tetsuya Kakihara, Katsuyuki Konishi, Marina Inoue, Masaya Onosaka, Nobuyuki Hiyama, Shizuka Ito, Daiki Nakamura, Kisho Taniyama, Rina Sato, Kana Ueda, Kana Asumi, Mitsuki Saiga, Takako Honda, Yukari Fukui, Kiyoyuki Yanada, Michiko Neya, Akio Suyama, Kiyoshi Kawakubo, Narushi Ikeda, Andrea Kwan, Brett Weaver, Bridget Hoffman, Dave Bridges, David Lee Mckinney, Hynden Walch, Kyle Hebert, Michelle Ruff, Yuri Lowenthal	Japan	TV-14	Anime Series, International TV Shows	When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble.	70213196	2007		1
High Risk			United States	TV-G	Docuseries, Reality TV	From scientists to snake handlers, this series explores what motivates some people to put themselves in jeopardy to perform extraordinary feats.	70208520	1988		1
LEGO Elves: Secrets of Elvendale		Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr	United States	TV-Y7	Kids' TV	Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series.	80105933	2017		1
Maniac		Espen Petrus Andersen Lervaag, Håkon Bast Mossige, Arif Salum, Ingeborg Raustøl, Marte Germaine Christensen, Mats Mogeland	Norway	TV-MA	International TV Shows, TV Comedies, TV Dramas	A nondescript man in a mental hospital has an exciting life of adventure and romance – in his head. He may be insane, or maybe he's just having fun.	80133200	2015		1
Tip the Mouse		Alyson Leigh Rosenfeld, Dave Wills, Serra Hirsch, Erica Schroeder, Jason Griffith	Germany, United States, Italy	TV-Y	Kids' TV	In his tiny meadow village, curious little mouse Tip enjoys fun and adventure while learning about the world with his furry friends and family.	80200913	2014		1
Conspiracy		Mark Bazeley	United Kingdom	TV-14	British TV Shows, Docuseries	Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.	80118873	2015		1
Dead Set		Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak	United Kingdom	TV-MA	British TV Shows, TV Horror, TV Thrillers	While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.	70229514	2008		1
Easy Fortune Happy Life		Lan Cheng-lung, Joe Chen, Roy Chiu, Jocelyn Wang, Chieh-kai Shiou, Ting Chiang, Wang Chuan	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.	70303288	2009		1
Game Winning Hit		Lego Lee, Alice Ko, Afalean Lu, Tsai Chen-nan, Wang Chuan, Leiya Gao, Charlize Lin	Taiwan	TV-PG	International TV Shows, TV Comedies, TV Dramas	An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.	80111273	2009		1
Lucky Days		Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien	China	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage.	80111710	2010		1
Station Horizon		Bernard Yerlès, Roland Vouilloz, Gaspard Boesch, Alexandra Vandernoot, Marie Fontannaz, Lavinia Longhi, Baptiste Gilliéron	Switzerland	TV-MA	International TV Shows, TV Comedies, TV Dramas	Ex-con Joris returns to his Swiss hometown, a community obsessed with American culture and ideals, to start over and save his family's gas station.	80128337	2015		1
The Fierce Wife		Sonia Sui, James Wen, Amanda Chu, Chris Wang, Karen Ying-Chen Hu, Patrick Lee, Janel Tsai, Li-li Pan, Fu Lei	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.	70303289	2010		1
The Womanizer		Lan Cheng-lung, Sonia Sui, James Wen, Bianca Bai, George Chang, Chung Hsin-ling, Tzu-chiang Chao, Xiao Xiao Bin	China	TV-PG	International TV Shows, Romantic TV Shows, TV Comedies	Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.	80111614	2010		1
The Year of Happiness and Love		Amber Kuo, James Wen, Weber Yang, Sonia Sui, Nien-Jen Wu, Kay Huang, Tsai Chen-nan, Lin Mei-hsiu	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune.	80111275	2009		1
Witches: A Century of Murder		Suzannah Lipscomb	United Kingdom	TV-14	British TV Shows, Crime TV Shows, Docuseries	Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin.	80118889	2015		1
Rhythm + Flow		Cardi B, Chance The Rapper, T.I.	United States	TV-MA	Reality TV	In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar.	80216665	2019		1
StoryBots Super Songs		Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis	United States	TV-Y	Kids' TV	Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more.	80113144	2016		1
Legend Quest: Masters of Myth		Johnny Rose, Annemarie Blanco, Paul Tei, Oscar Cheda, Chuck Morgan, Jenna Lamia, James Carrey	Mexico	TV-Y7	Kids' TV	When mythical creatures come to life, it's up to Leo, Teodora, Don Andrés and Alebrije – super-secret monster hunters – to save the day.	80215730	2019		1
My Country: The New Age		Yang Se-Jong, Woo Do‑hwan, Seolhyun, Jang Hyuk, Kim Young-chul, In Gyo-jin, Yu Oh-seong, Ahn Nae-sang	South Korea	TV-14	International TV Shows, Korean TV Shows, TV Action & Adventure	At the end of the Goryeo period, there were those who led the charge to proclaim a new age – and the ordinary individuals who risked everything.	81161487	2019		1
Dancing Queen		"Justin \"Alyssa Edwards\" Johnson"		TV-14	Reality TV	Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day – and the drag world by night.	80198511	2018		1
Empire Games		Jim O'Brien	Czech Republic, United States	TV-14	Docuseries	Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.	80240840	2018		1
LOST SONG		Konomi Suzuki, Yukari Tamura, Misaki Kuno, Chiaki Takahashi, Seiichiro Yamashita, Asami Seto, Yu Serizawa, Ai Kayano, Tsuyoshi Koyama, Yuto Suzuki, Mitsuru Ogata, Hiroshi Ito	Japan	TV-14	Anime Series, International TV Shows	War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song.	80191369	2018		1
YG Future Strategy Office		Seungri, Yoo Byung Jae, Lee Jai-jin, Jinu, Son Se-bin, Kim Ga-eun, Park Choong-hwan, Baek Yeong-gwang, Choi Sin-deuk	South Korea	TV-MA	International TV Shows, Korean TV Shows, TV Comedies	K-pop star Seungri, BIGBANG's youngest member, tries to lead a team of bumbling staff at YG's Future Strategy Office in this mockumentary sitcom.	80220650	2018		1
Raising Dion		Alisha Wainwright, Ja'Siah Young, Jason Ritter, Michael B. Jordan, Jazmyn Simon, Ali Ahn, Sammi Haney	United States	TV-PG	Kids' TV, TV Action & Adventure, TV Dramas	A widowed mom sets out to solve the mystery surrounding her young son's emerging superpowers while keeping his extraordinary gifts under wraps.	80117803	2019		1
Violet Evergarden: Special		Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Kouki Uchiyama, Minori Chihara, Haruka Tomatsu, Yoko Hikasa	Japan	TV-PG	Anime Series, International TV Shows, Romantic TV Shows	Auto Memory Doll Violet Evergarden writes letters for people who can’t, learning about her war-torn country and her own hardened heart along the way.	81010662	2018		1
Nowhere Man	DJ Chen	Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long	Taiwan	TV-MA	Crime TV Shows, International TV Shows, TV Action & Adventure	Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.	80203920	2019		1
Sleepless Society: Bedtime Wishes		Shahkrit Yamnarm, Savika Chaiyadej, Supoj Chancharoen, Pairoj Sangwariboot, Suchao Pongwilai, Nataya Chanrung, Papangkorn Lerkchaleampote, Suchada Tongam, Sasin Chow		TV-MA	Crime TV Shows, International TV Shows, TV Dramas	During a holiday stay at a hotel resort, a flight attendant encounters a wealthy, mysterious man with two different personas.	80242051	2019		1
Zumbo's Just Desserts		Adriano Zumbo, Rachel Khoo	Australia	TV-14	International TV Shows, Reality TV	Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize.	80204927	2016		1
Bring It On, Ghost	Park Joon-hwa	Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	A college student with psychic abilities takes in an amnesiac ghost as his roommate – who ends up helping him hunt down spooky spirits.	81166978	2016		1
Tomorrow with You		Shin Mina, Lee Je-hoon, Kim Ye-won, Cho Han-cheul, Baek Hyeon-jin, Kang Ki-doong, Park Joo-hee, Oh Gwang-rok	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.	81167029	2017		1
Tunnel		Todsapol Maisuk, Johnny Hao, Morakot Liu, Pemy Peramin Thabkaew, Phenphet Phenkul, Sumet Ong-Art, Amarin Nitipon, Tor Techathuwanan, Komsan Kajonpaisansuk		TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A detective finds himself 30 years in the future and must solve a string of grisly crimes before he can return to the past.	81142594	2019		1
The Degenerates		Big Jay Oakerson, Brad Williams, Yamaneika Saunders, Liza  Treyger, Joey Diaz, Christina Pazsitzky		TV-MA	Stand-Up Comedy & Talk Shows, TV Comedies	Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences.	80987753	2018		1
Seis Manos		Aislinn Derbez, Mike Colter, Jonny Cruz, Angélica Vale, Vic Chao, Danny Trejo	United States	TV-MA	Anime Series, Crime TV Shows	Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice.	80217066	2019		1
Shine On with Reese		Reese Witherspoon	United States	TV-14	Docuseries	In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.	81169914	2018		1
